# Allen26 label lookup table (generated by scripts/make_allen26.py)
# id  R    G    B    A  vis  msh  label
   0    0    0    0    0    1    1    "Background"
   1  255   69    0    1    1    1    "Amygdalar_Complex_L"
   2  255  215    0    1    1    1    "Auditory_L"
   3   50  205   50    1    1    1    "Basal_Ganglia_L"
   4    0  206  209    1    1    1    "Hippocampus_Ant_L"
   5    0  139  139    1    1    1    "Hippocampus_Post_L"
   6  218  112  214    1    1    1    "Lateral_Cortex_L"
   7  255  142   83    1    1    1    "Motor_L"
   8   32  178  170    1    1    1    "Retrosplenial_L"
   9  255  165    0    1    1    1    "Somatosensory_L"
  10  144  238  144    1    1    1    "Visual_Parietal_L"
  11  255   69    0    1    1    1    "Amygdalar_Complex_R"
  12  255  215    0    1    1    1    "Auditory_R"
  13   50  205   50    1    1    1    "Basal_Ganglia_R"
  14    0  206  209    1    1    1    "Hippocampus_Ant_R"
  15    0  139  139    1    1    1    "Hippocampus_Post_R"
  16  218  112  214    1    1    1    "Lateral_Cortex_R"
  17  255  142   83    1    1    1    "Motor_R"
  18   32  178  170    1    1    1    "Retrosplenial_R"
  19  255  165    0    1    1    1    "Somatosensory_R"
  20  144  238  144    1    1    1    "Visual_Parietal_R"
  21  169  169  169    1    1    1    "Brainstem_Tectum"
  22  128  128  128    1    1    1    "Cerebellum"
  23  255  107  107    1    1    1    "Frontal_Anterior"
  24  139    0    0    1    1    1    "Hypothalamus"
  25  147  112  219    1    1    1    "Olfactory_Bulb"
  26  106   90  205    1    1    1    "Thalamus"
